lagt,msd
60.0,3744581195.6116867
119.99999999999999,8454880054.598429
180.00000000000003,13668048542.9451
240.0,19249786798.12294
300.0,25009172451.050655
360.0,31085807441.036224
419.99999999999994,37433407126.40658
480.00000000000006,43491311276.83257
540.0000000000001,50189329477.07645
600.0,56903536085.7377
660.0,63510139896.564766
719.9999999999999,70137024978.23666
779.9999999999999,77224386196.21487
840.0,83860844830.10501
900.0000000000001,89957512589.90378
960.0000000000001,98005640593.27187
1019.9999999999999,110622224673.8664
1080.0000000000002,119654648227.37892
1140.0,126584627305.17453
1199.9999999999998,122266546804.32455
1259.9999999999998,128430141579.65929
1320.0,144910916321.7764
1380.0,154994050416.39288
1440.0,159077412086.16135
1499.9999999999998,166387563997.02368
1559.9999999999998,180213435527.14285
1620.0,178743009872.4949
1680.0000000000002,196845337091.99136
1740.0,198674417835.7616
1800.0,200461105440.26395
1860.0000000000005,203711272433.24954
1920.0,180146032130.25455
1980.0000000000005,195709079674.86438
2040.0000000000002,172337963868.5483
2100.0,160701874379.81015
2160.0,132984140593.4471
2220.0,133646648083.63618
2280.0,165117524392.9596
2340.0000000000005,185238690412.59573
2400.0,181820746514.53983
2460.0000000000005,174809428374.31512
2520.0000000000005,162350644671.97467
2580.0,144753883465.5006
